Nome,Endereço,Latitude,Longitude,Categoria
Mercearia E Lanchonete Do Gaucho,R. Emil Wehmuth - Blumenau,-26.9503746,-49.147022,restaurant
Eco Recanto Encano,"R. Lorenz, 7301, Indaial",-26.9380822,-49.1792749,restaurant
GO Tech,"R. Frederico Korte - Velha, Blumenau",-26.9433736,-49.1570111,store
Indaial sistemas construtivos,"R. Antonio Dickmann, 2409, Indaial",-26.9492821,-49.1946423,store
Consultora Mary Kay Blumenau,"R. Cristina, 244 - Velha Central, Blumenau",-26.9427571,-49.156578,store
Viacredi,"R. José Reuter, 1123 - Velha Central, Blumenau",-26.9324605,-49.1390891,bank
Network TOP Supermarket (Super Center),"R. José Reuter, 961 - Velha Central, Blumenau",-26.9329152,-49.1373636,supermarket
Supermercado São Matheus,"R. José Reuter, 2289 - Velha Central, Blumenau",-26.9375577,-49.1473922,supermarket
Mercado Theiss & Giehl,"R. Herman Barthel, 1315 - Velha, Blumenau",-26.9279986,-49.148621,supermarket
Supermercado Preço Bom,"R. José Reuter, 2263 - Velha, Blumenau",-26.9376352,-49.1471672,supermarket
Mercado Vicente,"R. José Reuter, 2450 - Velha Central, Blumenau",-26.9371759,-49.1486162,supermarket
Comercial Zuchi,"R. José Reuter, 3011 - Velha Central, Blumenau",-26.9400662,-49.1524593,supermarket
Mercado Bonifácio,"R. Divinópolis, 588 - Velha Central, Blumenau",-26.9202924,-49.1229919,supermarket
Cooper Omino,"R. dos Caçadores, 2405 - Velha Central, Blumenau",-26.927842,-49.1207635,supermarket
UniBox Atacarejo - Velha,"R. José Reuter, 266 - Velha Central, Blumenau",-26.9336653,-49.1307261,supermarket
Ofertas SC,"R. José Seibt - velha, Blumenau",-26.9398568,-49.1409283,supermarket
Vitória Store,"R. dos Caçadores, 3010 - Velha Central, Blumenau",-26.929977,-49.1260103,store
Lexter Store,"R. Johann Ohf, 3085 - Velha, Blumenau",-26.9312313,-49.1347688,store
Grow Store,"R. Quixabas, 88 - Velha Central, Blumenau",-26.9292849,-49.1257282,store
Glam for you store,"R. Wilhelm Siebert, 50 - Velha, Blumenau",-26.9342516,-49.1457661,store
Avro Store,"R. Helmuth Butzke, 150 - Velha Central, Blumenau",-26.9344727,-49.1361077,store
Xaiane store,"R. dos Pescadores - Velha Central, Blumenau",-26.9316859,-49.145086,store
Dabliu.R Store,"R. dos Caçadores, 2432 - Sala 02 - Velha Central, Blumenau",-26.9279475,-49.1211409,store
Aeros Camiseteria,"R. Emílio Wehmuth, 123 - Velha Central, Blumenau",-26.936012,-49.1396749,store
Netuno aqua store,"R. Georg Bachman, 141 - Velha, Blumenau",-26.9292632,-49.1288111,store
NW conveniência,"R. Anna Muller, 29 - Velha Grande, Blumenau",-26.9504461,-49.1309548,store
Allipe,"R. dos Caçadores, 3144 - Loja 1 - Velha, Blumenau",-26.9301889,-49.1274831,store
Frios in Box Bnu,"R. João Marchiori - Velha Central, Blumenau",-26.9281971,-49.13246239999999,store
Divina Fitness,"R. Gov. Jorge Lacerda, 2515 - Velha Central, Blumenau",-26.9313296,-49.121223,store
Flamboyant Boutique,"R. Gisela Michel - Velha Central, Blumenau",-26.9363777,-49.1360664,store
Bemmequer Lingerie Store,"R. José Reuter, 1400 - Velha, Blumenau",-26.932686,-49.1416449,store
Blubel Magazine Shops,"R. José Reuter, 520 - Velha Central, Blumenau",-26.9333149,-49.1333951,store
Papelaria,"Velha Central, Blumenau",-26.9272112,-49.1206977,store
Boutique da No.,"R. dos Caçadores, 2012 - Velha, Blumenau",-26.9247605,-49.1190714,store
Agro Blumenau,"R. José Reuter, 3112 - Velha Central, Blumenau",-26.9402334,-49.1531208,store
Baby Kids Blumenau,"R. José Reuter, 950 - Velha Central, Blumenau",-26.9322579,-49.1371999,store
Lanchonete Willy,"R. Franz Muller, 61 - Velha Central, Blumenau",-26.9500555,-49.1323411,restaurant
Rafas hamburgueria artesanal,"R. Germano Kratz Neto, nº6 - Velha Grande, Blumenau",-26.9495476,-49.1333799,restaurant
