Nome,Endereço,Latitude,Longitude
Restaurante Souza,"Av. Ver. Abrahão João Francisco, n 4.321 - Ressacada, Itajaí",-26.9325401,-48.6889996
Comedoria Restaurante Itajaí,"R. José Siqueira, 389 - Ressacada, Itajaí",-26.9249578,-48.6765903
Vó Zelina Restaurante,"Av. Nilo Simas, nº 705 - Cidade Nova, Itajaí",-26.923236,-48.6972549
Restaurante Nunes,"BR-101, Km 125 - Canhanduba, Itajaí",-26.94651,-48.6875614
Churrascaria Vieira Grill,"R. Raimundo Binder, 80 - Ressacada, Itajaí",-26.9281527,-48.68340629999999
Restaurante Angus Grill,"125, BR-101, 12500 - Canhanduba, Itajaí",-26.9458328,-48.6900273
Cantinho Do Baiano,"R. Agílio Cunha - Cidade Nova, Itajaí",-26.9218804,-48.69412519999999
Tropical Restaurante e Sushi Bar - Itajai e Região,"R. Euclydes Adão Peixes, 10 - Cidade Nova, Itajaí",-26.9262888,-48.69720299999999
Night Food Delivery,"rua olga germano pereira, 98 - Ressacada, Itajaí",-26.9322935,-48.6869694
Sushiart Culinária Japonesa,"R. José Gall, 910 - Dom Bosco, Itajaí",-26.9226389,-48.68065
Dany Bar & Lanches,"R. Pedro José João, 603 - Ressacada, Itajaí",-26.9207452,-48.6691155
Caldo De Cana,"R. Agílio Cunha, 736 - Cidade Nova, Itajaí",-26.9201687,-48.6939782
Quarentena Burguer,"Av. Ver. Abrahão João Francisco, 2805 - Loja 41 - Ressacada, Itajaí",-26.922618,-48.6742593
Hot Dog Póbris Itajaí,"R. José Siqueira, 20 - Dom Bosco, Itajaí",-26.9218144,-48.6775506
Bistrô do Sabor Univali,"R. Uruguai, 458 - Fazenda, Itajaí",-26.9186049,-48.6671646
I'CUGINI,"R. José Siqueira, 2992-3022 - Dom Bosco, Itajaí",-26.9243051,-48.6766786
Baiana Lanches,"R. Lino José da Silva, 78 - Cidade Nova, Itajaí",-26.924407,-48.6982603
HAMBUERGUERIA DA ROÇA,"Av. Min. Luiz Gallotti, 1207 - Cidade Nova, Itajaí",-26.9253724,-48.6982372
Lanchonete Shekina,"Av. Min. Luiz Gallotti, 1962 - Cidade Nova, Itajaí",-26.9305092,-48.6931825
Xande Lanches,"R. Agílio Cunha, 735 - Cidade Nova, Itajaí",-26.9201547,-48.6936616
"Fica, Vai ter Bolo Hostel","R. José Cândido, 560 - São João, Itajaí",-26.9000077,-48.676945
Hotel Cidade Nova,"R. Agílio Cunha, 220 - Cidade Nova, Itajaí",-26.9153963,-48.6935416
Glamour,"Av. Ver. Abrahão João Francisco, 2800 - Dom Bosco, Itajaí",-26.9228179,-48.675476
Hostel Casa da Gi e Jussa,"R. Francisco Ferreira Filho, 212 - São Judas, Itajaí",-26.9097974,-48.6794913
Lar da Frida,"Av. Itaipava, 1010 - Itaipava, Itajaí",-26.9373828,-48.7114127
Athoss,"Rua Erna Hoier Corrêa, 751 - Ressacada, Itajaí",-26.9338469,-48.7008057
Supermercados Lochill - Cidade Nova,"R. Agílio Cunha, 1126 - Cidade Nova, Itajaí",-26.9255917,-48.6945287
Supermercado Oliveira,"R. Agílio Cunha, 422 - Cidade Nova, Itajaí",-26.9171482,-48.69364230000001
Supermercado Promoforte,"R. Agílio Cunha, 1284 - S Vicente, Itajaí",-26.9245619,-48.6948309
Supermercado Econômico Itajaí,"Av. Min. Luiz Gallotti, 1866 - Cidade Nova, Itajaí",-26.9297971,-48.69395369999999
Mercado Verde Mar,"Av. Min. Luiz Gallotti, 1330 - Cidade Nova, Itajaí",-26.9263677,-48.6975205
Mini Mercado Padroeira,"R. Valério Zaguini - Cidade Nova, Itajaí",-26.9194236,-48.7047478
Mercado São Pedro,"R. Émerson Schneider - Quilômetro Doze, Itajaí",-26.9451622,-48.7105455
Mercado E Acougue Familia Albino,"Av. Min. Luiz Gallotti, 1062 - Cidade Nova, Itajaí",-26.9246222,-48.6993801
Mercearia Nolli,"R. Edmundo Wipel, 95 - Itaipava, Itajaí",-26.9437172,-48.7209856
Mercado e Açougue JG,"R. Francisco Boaventura da Silva, 178-408 - Itaipava, Itajaí",-26.9449699,-48.7112511
Mercado e Açougue Indaial,"R. Manoel Olívio Theodoro, 231 - Cidade Nova, Itajaí",-26.9281416,-48.6989052
AQUI VOCÊ ENCONTRA OFERTA DE VERDADE,"Rod. Antônio Heil, 800 - Itaipava, Itajaí",-26.939268,-48.70709309999999
MERCEARIA REINAUET,"R. João Reipert de Amorim - Dom Bosco, Itajaí",-26.9207096,-48.6800855
Phiel Armazéns Gerais,"Av. Gov. Adolfo Konder, 2600 - Cidade Nova, Itajaí",-26.916601,-48.703547
AUTOZONE ITAJAÍ SETOR 5 QQUADRA 12 LOTE 345,"Rua Estefano José Vanolli, 1889 Setor 5 Qquadra 12 345 - São Vicente, Itajaí",-26.9111787,-48.6885826
Casual Store,"R. Estefano José Vanolli, 720 - São Vicente, Itajaí",-26.9005178,-48.6888079
RD STORE,"R. Estefano José Vanolli, 1140 - São Vicente, Itajaí",-26.9043976,-48.68885909999999
Conveniência Empório,"R. Estefano José Vanolli, 482 - São Vicente, Itajaí",-26.8984868,-48.6887599
Lee Martins Store,"R. Paulo Arídio de França, 301 - Cidade Nova, Itajaí",-26.925766,-48.6990108
Zion Store São Vicente,"R. Estefano José Vanolli, 1239 - São Vicente, Itajaí",-26.905422,-48.6885769
BerKa Store,"nº 517 - R. Sd. Abelardo Mendonça Sobrinho, 517 - Ressacada, Itajaí",-26.9303109,-48.6855966
Uyuni Store,"R. Manoel Francisco Coelho, 190 - Sl. 01 - São Vicente, Itajaí",-26.9020276,-48.6892242
Le Donna Store,"R. Pedro Cristiano de Miranda, 426 - São Vicente, Itajaí",-26.9014103,-48.69471679999999
M&A Store,"R. Agílio Cunha, 776 - SL 4 - Cidade Nova, Itajaí",-26.9225382,-48.6941757
Ph store,"R. Gervásio Régis Júnior, 205 - São Vicente, Itajaí",-26.9076242,-48.7060143
Bp Store,"R. José Domingos Machado, 195 - Cidade Nova, Itajaí",-26.9248843,-48.692421
Weng's store,"R. Ver. Airton de Souza, 285 - São Vicente, Itajaí",-26.8975646,-48.6917182
TopG Store,"R. Jaziel José Rosa - São João, Itajaí",-26.9094196,-48.7026844
Lady Marie Store,"R. Arquiteto Nilson Edson dos Santos, 25 - São Vicente, Itajaí",-26.9055091,-48.6890228
Only Boss Store,"Fachada está escrito ""Charme e Capricho - R. Arquiteto Nilson Edson dos Santos, 850 - São Vicente, Itajaí",-26.9049239,-48.6972149
Morena bonita store,"R. Arquiteto Nilson Edson dos Santos, 268 - São Vicente, Itajaí",-26.9051909,-48.6914251
SVAM Store,"Av. Nilo Bittencourt, 490 - São Vicente, Itajaí",-26.9126671,-48.7051639
JUMP STORE ITAJAÍ,"R. Estefano José Vanolli, 590 - Sala 1 - São Vicente, Itajaí",-26.8992371,-48.6888673
Camp Life Store,"R. Jaziel José Rosa, 97 - São Vicente, Itajaí",-26.9109222,-48.7027796
Unidade básica de saúde,"R. Manoel José dos Santos, 434 - São Vicente, Itajaí",-26.9025038,-48.6965593
Hospital da bicicleta,"R. Arnoldo Corrêa de Melo, 572 - Cidade Nova, Itajaí",-26.9199659,-48.6932977
UPA 24h CIS - São Vicente,"Av. Gov. Adolfo Konder, 250 - Cidade Nova, Itajaí",-26.9105433,-48.6864292
Street Burger,"R. Agílio Cunha - Cidade Nova, Itajaí",-26.9252027,-48.6942088
Paradise Motel,"Av. Ver. Abrahão João Francisco, 8974 - Ressacada, Itajaí",-26.9363573,-48.6966466
Sindicato Nacional dos Aposentados e Pensionistas,"R. José Siqueira, 90 - Dom Bosco, Itajaí",-26.9225097,-48.6774162
Viacredi,"Av. Ver. Abrahão João Francisco, 2957 - Ressacada, Itajaí",-26.9236109,-48.67606869999999
Mercado Ressacada,"R. José Siqueira, 335 - Ressacada, Itajaí",-26.9245331,-48.6766262
Super Ofer,"Rua Jacó Moleri - Centro, Itajaí",-26.9063088,-48.6642725
Supermercado Amorim I,"R. Pedro Cristiano de Miranda, 955 - São Vicente, Itajaí",-26.9063014,-48.694707
Mercearia Jô,"R. Pedro José João, 175 - Ressacada, Itajaí",-26.9173531,-48.6694699
Mercearia Deia.,"R. Gustavo Manoel dos Santos, 183 - Ressacada, Itajaí",-26.9174595,-48.6684667
Comper,"200, Av. Sete de Setembro, 300 - Centro, Itajaí",-26.9087633,-48.6585772
Supermercado Lochill - Dom Bosco,"R. Indaial, 530 - Dom Bosco, Itajaí",-26.9166342,-48.677078
Mercado Chico,"R. Uruguai, 849 - Centro, Itajaí",-26.9168199,-48.6584243
Mercearia do Bem,"Rua Miguel Kunifas, 308 - Dom Bosco, Itajaí",-26.919556,-48.6752268
Compre Bem,rua criciuma,-26.9076752,-48.6677656
Supermarket Buy Well,"R. Otávio Cesário Pereira, 887 - São Vicente, Itajaí",-26.9051882,-48.6904997
Valdemir dias,"rua Francisco José Reis, 1496 - Santa Regina, Itajaí",-26.9105602,-48.6709276
Brava Atacarejo,"R. José Siqueira, 327 - Dom Bosco, Itajaí",-26.9243989,-48.6766528
Mercearia- Açougue Raul,"R. Lauro Muller, 50 - Centro, Itajaí",-26.9054993,-48.6556738
Armazém Rei do Preço Itajaí,"R. Pedro Cristiano de Miranda, 888 - São Vicente, Itajaí",-26.9055972,-48.6949233
Camaleão Store,"R. Laudelina Dionísio, 662 - Cordeiros, Itajaí",-26.8904776,-48.6957555
