Nome,Endereço,Latitude,Longitude
Cei Max Rodolfo Steffen,"Rua Rodolfo Steffen, Brusque, SC, 88355-250",-27.073881149291992,-48.90543746948242
Bichinhos Clinica Veterinaria. -,"Rua Felipe Schmidt 77, Brusque, SC, 88350-075",-27.09376335144043,-48.91444396972656
Posto Rr - Centro,"Rua Barão do Rio Branco 165, Brusque, SC, 88350-200",-27.094179153442383,-48.910987854003906
Restaurante Espaco Sabor,"Rod. Antonio Heil 30, km. 28 222, Brusque, SC, 88353-100",-27.098752975463867,-48.90614318847656
Supermercados Carol,"Rua Santa Cruz 388 (Águas Claras), Brusque, SC",-27.14396858215332,-48.908382415771484
Escola de Educação Infantil Sofia Dubiela - Sta Rita,"Rua Vitório Demarche 291, Brusque, SC, 88352-140",-27.083600997924805,-48.90790939331055
Supermercados Carol,"Rua São Pedro 1600 (São Pedro), Brusque, SC",-27.073705673217773,-48.93572235107422
Supermercado Barni,"Matriz: Rua Alberto Muller, N°1300 - Limeira Loja 02°987 - Limeira Loja 03° 3260 - Limeira, Brusque, SC, 88356-001",-27.10034942626953,-48.853111267089844
Supermercado O Barateiro,"Rua Ernesto Appel 288, Brusque, SC, 88354",-27.117263793945312,-48.91652297973633
Chef do Mar Restaurant,"Rua Jose Hermenegildo Bolognini 30 (Maluche), Brusque, SC, 88354-580",-27.108509063720703,-48.93588638305664
Batata Bistrô,"Rua Gen. Osorio 346 (Guarani), Brusque, SC, 88350-480",-27.096399307250977,-48.93239974975586
Farmacia Dehon,"Rua Adriano Schaefer 186, Brusque, SC, 88350-330",-27.099382400512695,-48.91395568847656
Hotel Europa,"Rua Padre Jacobs nº 45, Blumenau",-26.920095443725586,-49.06583786010742
Farmácia São Luiz - S Luiz,"Rua São Pedro 179, sl. 1, Brusque, SC, 88351-400",-27.08172607421875,-48.91742706298828
Clínica Médica Santa Rita,"Rua Sete de Setembro 585, Brusque, SC, 88352-001",-27.08271026611328,-48.90043258666992
Bananas Bar,"Av. Beira Rio 331, Brusque, SC",-27.098430633544922,-48.91781234741211
