Nome,Endereço,Latitude,Longitude
Balth Com Representações,"Rua Colonizador Ênio Pepino 87, lt. 3, Sinop, MT, 78550-000",-11.829595565795898,-55.4881477355957
Auto Posto Tarumã,"Av. dos Tarumãs 818 (Setor Residencial Sul), Sinop, MT, 78550-001",-11.864283561706543,-55.50424575805664
Bioclínico Jacarandas,"Av. Jacarandas 2895, Sinop, MT, 78550-003",-11.861370086669922,-55.49901580810547
Farmácia Pague Menos,"Av. Gov. Júlio Campos 791, Sinop, MT, 78550-228",-11.856056213378906,-55.50412368774414
Bar e Lanchonete Sao Camilo,"Rua das Thumbérgias 270, Sinop, MT, 78550-382",-11.847583770751953,-55.49782180786133
Posto Petrobras,"Av. dos Ingas 4030 Jd das (Palmeiras), Sinop, MT, 78552-000",-11.842181205749512,-55.51252365112305
Hospital e Maternidade Jacarandás,"Av. dos Jacarandas 2900, Sinop, MT, 78557-448",-11.861493110656738,-55.498870849609375
La Piroska,"Rua L-2 84 (Centro), Sinop, MT, 78550-061",-11.858877182006836,-55.507686614990234
Vie Hotel,"Av. Bruno Martini 2249 (Recanto Suiço), Sinop, MT, 78555-601",-11.854969024658203,-55.540889739990234
Supermercado Campos Novos,"Av. dos Jatobás, 933 - Jd Celeste, Sinop - Mt, Sinop, MT, 78556-658",-11.879849433898926,-55.511531829833984
Hospital Municipal de Sinop,"Rua das Caviúnas S/N, Sinop, MT, 78550-000",-11.873010635375977,-55.498138427734375
Cancioneiro Palace Hotel,"Rua Colonizador Enio Pipino 5213 (Norte), Sinop, MT, 78550-542",-11.877338409423828,-55.49970245361328
Shopping Sinop,"Av. Alexandre Ferronato 800, Sinop, MT, 78557-247",-11.860636711120605,-55.48633575439453
Batatu,"Av. das Sibipirunas 5550, Sinop, MT, 78557-670",-11.838194847106934,-55.49705505371094
Byuderme Clínica,"Av. dos Tarumãs 1561 (Jardim Botânico), Sinop, MT, 78556-062",-11.86325740814209,-55.51009750366211
Bigode Show Bar,"Rua das Dálias 264, Sinop, MT, 78555-048",-11.837566375732422,-55.51565170288086
Saúde \u0026 Sorriso,"Av. das Embaúbas 927, Sinop, MT, 78550-000",-11.85845947265625,-55.50466537475586
Ee Rosa dos Ventos,"Rua das Paineiras S/N, qd. 8, Sinop, MT, 78550-000",-11.839855194091797,-55.51619338989258
Olinda Hotel e Eventos,"Rod. PR-182, km. 2, Toledo, PR, 85906-300",-24.710691452026367,-53.70116424560547
Afusmac,"Rua das Margaridas 699, Sinop, MT, 78555-022",-11.84353256225586,-55.51496887207031
Dr. Daniel Luiz Jorge,"Av. dos Flamboyants 2145, Sinop, MT, 78550-100",-11.86860179901123,-55.517982482910156
Hospital Veterinário,"1026, Av. Alexandre Ferronato, 900 - Lot. Alto da Gloria, Sinop - Mt",-11.860860824584961,-55.4854850769043
Posto Petrobras,"Rua Joao Pedro Moreira de Carvalho 1860 S e T (r Industrial), Sinop, MT, 78557-135",-11.875569343566895,-55.498592376708984
